analyst_id,series,cntry,year,unemp
018OL,une_rt_a_h Y15-74 PC_ACT T,NL,2011,5
018OL,une_rt_a_h Y15-74 PC_ACT T,NL,2012,5.8
018OL,une_rt_a_h Y15-74 PC_ACT T,NL,2013,7.3
018OL,une_rt_a_h Y15-74 PC_ACT T,PL,2004,19
018OL,une_rt_a_h Y15-74 PC_ACT T,PL,2005,17.8
018OL,une_rt_a_h Y15-74 PC_ACT T,PL,2006,13.9
018OL,une_rt_a_h Y15-74 PC_ACT T,PL,2007,9.6
018OL,une_rt_a_h Y15-74 PC_ACT T,PL,2008,7.1
018OL,une_rt_a_h Y15-74 PC_ACT T,PL,2009,8.2
018OL,une_rt_a_h Y15-74 PC_ACT T,PL,2010,9.7
018OL,une_rt_a_h Y15-74 PC_ACT T,PL,2011,9.7
018OL,une_rt_a_h Y15-74 PC_ACT T,PL,2012,10.1
018OL,une_rt_a_h Y15-74 PC_ACT T,PL,2013,10.3
018OL,une_rt_a_h Y15-74 PC_ACT T,PT,2004,6.7
018OL,une_rt_a_h Y15-74 PC_ACT T,PT,2005,7.7
018OL,une_rt_a_h Y15-74 PC_ACT T,PT,2006,7.8
018OL,une_rt_a_h Y15-74 PC_ACT T,PT,2007,8.1
018OL,une_rt_a_h Y15-74 PC_ACT T,PT,2008,7.7
018OL,une_rt_a_h Y15-74 PC_ACT T,PT,2009,9.6
018OL,une_rt_a_h Y15-74 PC_ACT T,PT,2010,11
018OL,une_rt_a_h Y15-74 PC_ACT T,PT,2011,12.9
018OL,une_rt_a_h Y15-74 PC_ACT T,PT,2012,15.8
018OL,une_rt_a_h Y15-74 PC_ACT T,PT,2013,16.5
018OL,une_rt_a_h Y15-74 PC_ACT T,RO,2004,8.1
018OL,une_rt_a_h Y15-74 PC_ACT T,RO,2005,7.2
018OL,une_rt_a_h Y15-74 PC_ACT T,RO,2006,7.3
018OL,une_rt_a_h Y15-74 PC_ACT T,RO,2007,6.4
018OL,une_rt_a_h Y15-74 PC_ACT T,RO,2008,5.8
018OL,une_rt_a_h Y15-74 PC_ACT T,RO,2009,6.9
018OL,une_rt_a_h Y15-74 PC_ACT T,RO,2010,7
018OL,une_rt_a_h Y15-74 PC_ACT T,RO,2011,7.2
018OL,une_rt_a_h Y15-74 PC_ACT T,RO,2012,6.8
018OL,une_rt_a_h Y15-74 PC_ACT T,RO,2013,7.1
018OL,une_rt_a_h Y15-74 PC_ACT T,SE,2004,6.5
018OL,une_rt_a_h Y15-74 PC_ACT T,SE,2005,7.5
018OL,une_rt_a_h Y15-74 PC_ACT T,SE,2006,7.1
018OL,une_rt_a_h Y15-74 PC_ACT T,SE,2007,6.2
018OL,une_rt_a_h Y15-74 PC_ACT T,SE,2008,6.2
