measure,predictor,source,cntry,year,value
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LT,2013,4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LU,2004,4.2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LU,2005,2.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LU,2006,6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LU,2007,8.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LU,2008,-0.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LU,2009,-3.2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LU,2010,3.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LU,2011,1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LU,2012,1.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LU,2013,3.2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LV,2004,8.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LV,2005,11.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LV,2006,12.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LV,2007,10.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LV,2008,-3.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LV,2009,-16
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LV,2010,-3.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LV,2011,3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LV,2012,7.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LV,2013,2.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,MT,2004,0.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,MT,2005,2.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,MT,2006,2.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,MT,2007,5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,MT,2008,4.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,MT,2009,-1.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,MT,2010,6.2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,MT,2011,1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,MT,2012,4.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,MT,2013,6.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,NL,2004,2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,NL,2005,2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,NL,2006,3.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,NL,2007,3.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,NL,2008,2.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,NL,2009,-3.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,NL,2010,1.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,NL,2011,1.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,NL,2012,-1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,NL,2013,0
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PL,2004,5.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PL,2005,3.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PL,2006,6.2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PL,2007,6.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PL,2008,4.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PL,2009,2.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PL,2010,3.2
