cell,rows,fitted,derived,has_mi,has_beta,bytes
mcomm__unemp__other__fe_country__y2004_2008__n_eff,732,396,240,TRUE,TRUE,34002
mcomm__unemp__other__fe_country__y2004_2008__none,732,396,240,TRUE,TRUE,33959
mcomm__unemp__other__fe_country__y2004_2008__pop,732,396,240,TRUE,TRUE,34180
mcomm__unemp__other__fe_country__y2009_2013__n_cell,732,492,240,TRUE,TRUE,41268
mcomm__unemp__other__fe_country__y2009_2013__n_eff,732,492,240,TRUE,TRUE,41344
mcomm__unemp__other__fe_country__y2009_2013__none,732,492,240,TRUE,TRUE,41262
mcomm__unemp__other__fe_country__y2009_2013__pop,732,492,240,TRUE,TRUE,41738
mcomm__unemp__other__fe_twoway__all__n_cell,732,492,240,TRUE,TRUE,41329
mcomm__unemp__other__fe_twoway__all__n_eff,732,492,240,TRUE,TRUE,41295
mcomm__unemp__other__fe_twoway__all__none,732,492,240,TRUE,TRUE,41140
mcomm__unemp__other__fe_twoway__all__pop,732,492,240,TRUE,TRUE,41253
mcomm__unemp__other__fe_twoway__no_GR_ES__n_cell,732,492,240,TRUE,TRUE,41548
mcomm__unemp__other__fe_twoway__no_GR_ES__n_eff,732,492,240,TRUE,TRUE,41449
mcomm__unemp__other__fe_twoway__no_GR_ES__none,732,492,240,TRUE,TRUE,41239
mcomm__unemp__other__fe_twoway__no_GR_ES__pop,732,492,240,TRUE,TRUE,41588
mcomm__unemp__other__fe_twoway__no_bailout__n_cell,732,492,240,TRUE,TRUE,41385
mcomm__unemp__other__fe_twoway__no_bailout__n_eff,732,492,240,TRUE,TRUE,41498
mcomm__unemp__other__fe_twoway__no_bailout__none,732,492,240,TRUE,TRUE,41113
mcomm__unemp__other__fe_twoway__no_bailout__pop,732,492,240,TRUE,TRUE,41668
mcomm__unemp__other__fe_twoway__y2004_2008__n_cell,732,396,240,TRUE,TRUE,33864
mcomm__unemp__other__fe_twoway__y2004_2008__n_eff,732,396,240,TRUE,TRUE,33850
mcomm__unemp__other__fe_twoway__y2004_2008__none,732,396,240,TRUE,TRUE,33656
mcomm__unemp__other__fe_twoway__y2004_2008__pop,732,396,240,TRUE,TRUE,34238
mcomm__unemp__other__fe_twoway__y2009_2013__n_cell,732,492,240,TRUE,TRUE,41249
mcomm__unemp__other__fe_twoway__y2009_2013__n_eff,732,492,240,TRUE,TRUE,41337
mcomm__unemp__other__fe_twoway__y2009_2013__none,732,492,240,TRUE,TRUE,41167
mcomm__unemp__other__fe_twoway__y2009_2013__pop,732,492,240,TRUE,TRUE,41605
mcomm__unemp__other__pooled_cl__all__n_cell,732,492,240,TRUE,TRUE,41437
mcomm__unemp__other__pooled_cl__all__n_eff,732,492,240,TRUE,TRUE,41407
mcomm__unemp__other__pooled_cl__all__none,732,492,240,TRUE,TRUE,41303
mcomm__unemp__other__pooled_cl__all__pop,732,492,240,TRUE,TRUE,41417
mcomm__unemp__other__pooled_cl__no_GR_ES__n_cell,732,492,240,TRUE,TRUE,41332
mcomm__unemp__other__pooled_cl__no_GR_ES__n_eff,732,492,240,TRUE,TRUE,41428
mcomm__unemp__other__pooled_cl__no_GR_ES__none,732,492,240,TRUE,TRUE,41238
mcomm__unemp__other__pooled_cl__no_GR_ES__pop,732,492,240,TRUE,TRUE,41653
mcomm__unemp__other__pooled_cl__no_bailout__n_cell,732,492,240,TRUE,TRUE,41415
mcomm__unemp__other__pooled_cl__no_bailout__n_eff,732,492,240,TRUE,TRUE,41420
mcomm__unemp__other__pooled_cl__no_bailout__none,732,492,240,TRUE,TRUE,41319
mcomm__unemp__other__pooled_cl__no_bailout__pop,732,492,240,TRUE,TRUE,41547
mcomm__unemp__other__pooled_cl__y2004_2008__n_cell,732,396,240,TRUE,TRUE,34127
mcomm__unemp__other__pooled_cl__y2004_2008__n_eff,732,396,240,TRUE,TRUE,34294
mcomm__unemp__other__pooled_cl__y2004_2008__none,732,396,240,TRUE,TRUE,34177
mcomm__unemp__other__pooled_cl__y2004_2008__pop,732,396,240,TRUE,TRUE,34235
mcomm__unemp__other__pooled_cl__y2009_2013__n_cell,732,492,240,TRUE,TRUE,41360
mcomm__unemp__other__pooled_cl__y2009_2013__n_eff,732,492,240,TRUE,TRUE,41438
mcomm__unemp__other__pooled_cl__y2009_2013__none,732,492,240,TRUE,TRUE,41533
mcomm__unemp__other__pooled_cl__y2009_2013__pop,732,492,240,TRUE,TRUE,41371
mcomm__unemp__other__re__all__none,732,492,240,TRUE,TRUE,40959
mcomm__unemp__other__re__no_GR_ES__none,732,492,240,TRUE,TRUE,40920
mcomm__unemp__other__re__no_bailout__none,732,492,240,TRUE,TRUE,40642
mcomm__unemp__other__re__y2004_2008__none,732,396,240,TRUE,TRUE,33601
mcomm__unemp__other__re__y2009_2013__none,732,492,240,TRUE,TRUE,40875
mcosmo__growth__none__fe_country__all__n_cell,148,100,48,FALSE,TRUE,6743
mcosmo__growth__none__fe_country__all__n_eff,148,100,48,FALSE,TRUE,6748
mcosmo__growth__none__fe_country__all__none,148,100,48,FALSE,TRUE,6707
mcosmo__growth__none__fe_country__all__pop,148,100,48,FALSE,TRUE,6761
mcosmo__growth__none__fe_country__no_GR_ES__n_cell,148,100,48,FALSE,TRUE,6815
mcosmo__growth__none__fe_country__no_GR_ES__n_eff,148,100,48,FALSE,TRUE,6795
mcosmo__growth__none__fe_country__no_GR_ES__none,148,100,48,FALSE,TRUE,6779
mcosmo__growth__none__fe_country__no_GR_ES__pop,148,100,48,FALSE,TRUE,6774
mcosmo__growth__none__fe_country__no_bailout__n_cell,148,100,48,FALSE,TRUE,6760
mcosmo__growth__none__fe_country__no_bailout__n_eff,148,100,48,FALSE,TRUE,6770
mcosmo__growth__none__fe_country__no_bailout__none,148,100,48,FALSE,TRUE,6739
mcosmo__growth__none__fe_country__no_bailout__pop,148,100,48,FALSE,TRUE,6728
mcosmo__growth__none__fe_country__y2004_2008__n_cell,148,100,48,FALSE,TRUE,6667
mcosmo__growth__none__fe_country__y2004_2008__n_eff,148,100,48,FALSE,TRUE,6687
mcosmo__growth__none__fe_country__y2004_2008__none,148,100,48,FALSE,TRUE,6706
mcosmo__growth__none__fe_country__y2004_2008__pop,148,100,48,FALSE,TRUE,6712
mcosmo__growth__none__fe_country__y2009_2013__n_cell,148,100,48,FALSE,TRUE,6833
mcosmo__growth__none__fe_country__y2009_2013__n_eff,148,100,48,FALSE,TRUE,6873
mcosmo__growth__none__fe_country__y2009_2013__none,148,100,48,FALSE,TRUE,6826
mcosmo__growth__none__fe_country__y2009_2013__pop,148,100,48,FALSE,TRUE,6730
mcosmo__growth__none__fe_twoway__all__n_cell,148,100,48,FALSE,TRUE,6707
mcosmo__growth__none__fe_twoway__all__n_eff,148,100,48,FALSE,TRUE,6702
mcosmo__growth__none__fe_twoway__all__none,148,100,48,FALSE,TRUE,6715
mcosmo__growth__none__fe_twoway__all__pop,148,100,48,FALSE,TRUE,6711
mcosmo__growth__none__fe_twoway__no_GR_ES__n_cell,148,100,48,FALSE,TRUE,6881
mcosmo__growth__none__fe_twoway__no_GR_ES__n_eff,148,100,48,FALSE,TRUE,6900
mcosmo__growth__none__fe_twoway__no_GR_ES__none,148,100,48,FALSE,TRUE,6812
mcosmo__growth__none__fe_twoway__no_GR_ES__pop,148,100,48,FALSE,TRUE,6781
mcosmo__growth__none__fe_twoway__no_bailout__n_cell,148,100,48,FALSE,TRUE,6693
mcosmo__growth__none__fe_twoway__no_bailout__n_eff,148,100,48,FALSE,TRUE,6709
mcosmo__growth__none__fe_twoway__no_bailout__none,148,100,48,FALSE,TRUE,6727
mcosmo__growth__none__fe_twoway__no_bailout__pop,148,100,48,FALSE,TRUE,6702
mcosmo__growth__none__fe_twoway__y2004_2008__n_cell,148,100,48,FALSE,TRUE,6666
mcosmo__growth__none__fe_twoway__y2004_2008__n_eff,148,100,48,FALSE,TRUE,6642
mcosmo__growth__none__fe_twoway__y2004_2008__none,148,100,48,FALSE,TRUE,6654
mcosmo__growth__none__fe_twoway__y2004_2008__pop,148,100,48,FALSE,TRUE,6641
mcosmo__growth__none__fe_twoway__y2009_2013__n_cell,148,100,48,FALSE,TRUE,6683
mcosmo__growth__none__fe_twoway__y2009_2013__n_eff,148,100,48,FALSE,TRUE,6677
mcosmo__growth__none__fe_twoway__y2009_2013__none,148,100,48,FALSE,TRUE,6745
mcosmo__growth__none__fe_twoway__y2009_2013__pop,148,100,48,FALSE,TRUE,6729
mcosmo__growth__none__pooled_cl__all__n_cell,148,100,48,FALSE,TRUE,6612
mcosmo__growth__none__pooled_cl__all__n_eff,148,100,48,FALSE,TRUE,6632
mcosmo__growth__none__pooled_cl__all__none,148,100,48,FALSE,TRUE,6666
mcosmo__growth__none__pooled_cl__all__pop,148,100,48,FALSE,TRUE,6693
mcosmo__growth__none__pooled_cl__no_GR_ES__n_cell,148,100,48,FALSE,TRUE,6633
mcosmo__growth__none__pooled_cl__no_GR_ES__n_eff,148,100,48,FALSE,TRUE,6660
