outcome,predictor,copredictor,estimator,sample,reg_weight,construction,variants,fitted,median_rca,min_rca,max_rca,share_claim,share_sig,share_both
mcomm,growth,none,pooled_cl,no_bailout,n_eff,rate,50,50,-0.061620322965858974,-0.07131774426264754,-0.04915694970056749,1,0,0
mcomm,growth,none,pooled_cl,no_bailout,n_eff,share,50,50,-0.12317760900039039,-0.1459395358886056,-0.10547221845389776,1,0.04,0.04
mcomm,growth,none,pooled_cl,no_bailout,none,count,48,48,-0.04206816237134779,-0.04959248095625187,-0.03202952132260733,1,0,0
mcomm,growth,none,pooled_cl,no_bailout,none,rate,50,50,-0.04220339940600977,-0.05323194196062064,-0.03202952132260733,1,0,0
mcomm,growth,none,pooled_cl,no_bailout,none,share,50,50,-0.10548992358712353,-0.12372213459911365,-0.08985458008763604,1,0,0
mcomm,growth,none,pooled_cl,no_bailout,pop,count,48,48,-0.01095940432241427,-0.02841546984919656,-0.00191998627282083,1,0,0
mcomm,growth,none,pooled_cl,no_bailout,pop,rate,50,50,-0.011320220385105634,-0.05027781288222283,-0.00191998627282083,1,0,0
mcomm,growth,none,pooled_cl,no_bailout,pop,share,50,50,-0.12177505142141368,-0.2059145783048805,-0.05646013146870291,1,0.5,0.5
mcomm,growth,none,pooled_cl,y2004_2008,n_cell,count,48,48,-0.1961852747072031,-0.26083398446194356,-0.15085309105044672,1,0.5833333333333334,0.5833333333333334
mcomm,growth,none,pooled_cl,y2004_2008,n_cell,rate,50,50,-0.19290209084564627,-0.26083398446194356,-0.13787262428591227,1,0.58,0.58
mcomm,growth,none,pooled_cl,y2004_2008,n_cell,share,50,50,-0.26831451380707283,-0.3811537804066387,-0.1806801500109894,1,1,1
mcomm,growth,none,pooled_cl,y2004_2008,n_eff,count,48,48,-0.19790614144129204,-0.2651727063371422,-0.15112883786057638,1,0.6041666666666666,0.6041666666666666
mcomm,growth,none,pooled_cl,y2004_2008,n_eff,rate,50,50,-0.1969746129578962,-0.2651727063371422,-0.14057796371209255,1,0.6,0.6
mcomm,growth,none,pooled_cl,y2004_2008,n_eff,share,50,50,-0.267985789360735,-0.3868506897449552,-0.18104507996223543,1,1,1
mcomm,growth,none,pooled_cl,y2004_2008,none,count,48,48,-0.19804550798616247,-0.251938635332501,-0.1641479304520172,1,0.7916666666666666,0.7916666666666666
mcomm,growth,none,pooled_cl,y2004_2008,none,rate,50,50,-0.19804550798616247,-0.251938635332501,-0.15282237274733648,1,0.78,0.78
mcomm,growth,none,pooled_cl,y2004_2008,none,share,50,50,-0.28276739891032243,-0.38247606697676384,-0.20098096556342,1,1,1
mcomm,growth,none,pooled_cl,y2004_2008,pop,count,48,48,-0.226946286585895,-0.34884678451632206,-0.1352789276921553,1,0.5833333333333334,0.5833333333333334
mcomm,growth,none,pooled_cl,y2004_2008,pop,rate,50,50,-0.226946286585895,-0.34884678451632206,-0.1352789276921553,1,0.58,0.58
mcomm,growth,none,pooled_cl,y2004_2008,pop,share,50,50,-0.38050131665822307,-0.5439411363079332,-0.24900437014980673,1,1,1
mcomm,growth,none,pooled_cl,y2009_2013,n_cell,count,48,48,-0.1113156506531441,-0.15633901292273736,-0.04475814557586553,1,0,0
mcomm,growth,none,pooled_cl,y2009_2013,n_cell,rate,50,50,-0.11617108161559735,-0.15633901292273736,-0.04475814557586553,1,0,0
mcomm,growth,none,pooled_cl,y2009_2013,n_cell,share,50,50,-0.17212059114327583,-0.2731567582963305,-0.11836484952051698,1,0.52,0.52
mcomm,growth,none,pooled_cl,y2009_2013,n_eff,count,48,48,-0.11404235964527598,-0.1597543738289437,-0.04475814557586553,1,0,0
mcomm,growth,none,pooled_cl,y2009_2013,n_eff,rate,50,50,-0.11892948780671189,-0.1597543738289437,-0.04475814557586553,1,0,0
mcomm,growth,none,pooled_cl,y2009_2013,n_eff,share,50,50,-0.17461756971503628,-0.275898615706834,-0.11836484952051698,1,0.54,0.54
mcomm,growth,none,pooled_cl,y2009_2013,none,count,48,48,-0.11798690359666443,-0.1462501454916336,-0.07052576225095218,1,0,0
mcomm,growth,none,pooled_cl,y2009_2013,none,rate,50,50,-0.11213830671740757,-0.1462501454916336,-0.07052576225095218,1,0,0
mcomm,growth,none,pooled_cl,y2009_2013,none,share,50,50,-0.15675142464203273,-0.21894252506666417,-0.11792095605001084,1,0.26,0.26
mcomm,growth,none,pooled_cl,y2009_2013,pop,count,48,48,0.012584965461320579,-0.0282395180275707,0.06637883142797887,0.3333333333333333,0,0
mcomm,growth,none,pooled_cl,y2009_2013,pop,rate,50,50,0.012584965461320579,-0.0282395180275707,0.06637883142797887,0.32,0,0
mcomm,growth,none,pooled_cl,y2009_2013,pop,share,50,50,-0.05632594213134476,-0.17383806686186115,0.0012984437213787,0.96,0.02,0.02
mcomm,growth,none,re,all,none,count,48,48,0.00382382387339651,-0.03957394680713569,0.05787960897821548,0.5,0,0
mcomm,growth,none,re,all,none,rate,50,49,-0.01649398134980103,-0.03957394680713569,0.05787960897821548,0.52,0,0
mcomm,growth,none,re,all,none,share,50,49,-0.11214830350930732,-0.21723110895894143,-0.05343234227227257,1,0.4489795918367347,0.4489795918367347
mcomm,growth,none,re,no_GR_ES,none,count,48,48,0.019541852581299056,-0.01463182726390518,0.07181457448474911,0.5,0,0
mcomm,growth,none,re,no_GR_ES,none,rate,50,49,-0.00111473817944328,-0.01463182726390518,0.07181457448474911,0.52,0,0
mcomm,growth,none,re,no_GR_ES,none,share,50,49,-0.08230982753767159,-0.17390672703347956,-0.03580954032458423,1,0.2653061224489796,0.2653061224489796
mcomm,growth,none,re,no_bailout,none,count,48,48,0.17395504631825484,0.13287670617081296,0.21185788699000377,0,0.75,0
mcomm,growth,none,re,no_bailout,none,rate,50,49,0.1748612215563357,0.13287670617081296,0.21185788699000377,0,0.7551020408163265,0
mcomm,growth,none,re,no_bailout,none,share,50,49,0.07133909402232196,0.03293051206172162,0.14971112472484607,0,0.02040816326530612,0
mcomm,growth,none,re,y2004_2008,none,count,48,48,0.07717048002704968,0.04323932248400111,0.11440947679462685,0,0,0
mcomm,growth,none,re,y2004_2008,none,rate,50,49,0.08749648585505794,0.04323932248400111,0.11621114582697047,0,0,0
mcomm,growth,none,re,y2004_2008,none,share,50,49,-0.05776265507783892,-0.13569168724601843,-0.02437922869935166,1,0,0
mcomm,growth,none,re,y2009_2013,none,count,48,48,-0.0689257609640062,-0.11608049882117392,-0.03309945434027169,1,0,0
mcomm,growth,none,re,y2009_2013,none,rate,50,49,-0.06985545430277611,-0.11608049882117392,-0.03309945434027169,1,0,0
mcomm,growth,none,re,y2009_2013,none,share,50,49,-0.06326566797866302,-0.09989338664283608,-0.02747062827343314,1,0,0
