outcome,pred_form,copredictor,estimator,sample,reg_weight,r_ca
mcomm,raw,other,fe_twoway,y2004_2008,none,-0.3666776206085078
mlib,raw,other,fe_twoway,y2004_2008,none,-0.2539513102345078
mpos,raw,other,fe_twoway,y2004_2008,none,-0.32867982506511856
mneg,raw,other,fe_twoway,y2004_2008,none,-0.3844039653677353
mcosmo,raw,other,fe_twoway,y2004_2008,n_cell,-0.3430553556836699
mutil,raw,other,fe_twoway,y2004_2008,n_cell,0.03158897907481835
mcomm,raw,other,fe_twoway,y2004_2008,n_cell,-0.3737763125768277
mlib,raw,other,fe_twoway,y2004_2008,n_cell,-0.2350552540926746
mpos,raw,other,fe_twoway,y2004_2008,n_cell,-0.30616086426104444
mneg,raw,other,fe_twoway,y2004_2008,n_cell,-0.3844826233842942
mcosmo,raw,other,fe_country,y2004_2008,none,-0.4865585568617155
mutil,raw,other,fe_country,y2004_2008,none,0.2364949438049492
mcomm,raw,other,fe_country,y2004_2008,none,-0.4819241562810811
mlib,raw,other,fe_country,y2004_2008,none,-0.2661453569396194
mpos,raw,other,fe_country,y2004_2008,none,-0.3920499368548155
mneg,raw,other,fe_country,y2004_2008,none,-0.46822708207846
mcosmo,raw,other,fe_country,y2004_2008,n_cell,-0.4530247127113831
mutil,raw,other,fe_country,y2004_2008,n_cell,0.18128374849208512
mcomm,raw,other,fe_country,y2004_2008,n_cell,-0.5176707624013984
mlib,raw,other,fe_country,y2004_2008,n_cell,-0.1982215956646868
mpos,raw,other,fe_country,y2004_2008,n_cell,-0.3655397194526938
mneg,raw,other,fe_country,y2004_2008,n_cell,-0.46826093892131304
mcosmo,raw,other,re,y2004_2008,none,-0.3505513733412029
mutil,raw,other,re,y2004_2008,none,0.19929534476178737
mcomm,raw,other,re,y2004_2008,none,-0.3811548888198667
mlib,raw,other,re,y2004_2008,none,-0.22254475221746323
mpos,raw,other,re,y2004_2008,none,-0.3017338328112096
mneg,raw,other,re,y2004_2008,none,-0.3842482105150355
mcosmo,raw,other,pooled_cl,y2004_2008,none,0.10493041606610087
mutil,raw,other,pooled_cl,y2004_2008,none,-0.01477377602762599
mcomm,raw,other,pooled_cl,y2004_2008,none,0.0588569331494951
mlib,raw,other,pooled_cl,y2004_2008,none,0.0613180647487055
mpos,raw,other,pooled_cl,y2004_2008,none,0.070669933733993745
mneg,raw,other,pooled_cl,y2004_2008,none,0.0740697308434154
mcosmo,raw,other,pooled_cl,y2004_2008,n_cell,0.1499207330653107
mutil,raw,other,pooled_cl,y2004_2008,n_cell,-0.05828008441919565
mcomm,raw,other,pooled_cl,y2004_2008,n_cell,-0.00753574674450633
mlib,raw,other,pooled_cl,y2004_2008,n_cell,0.0925343694772416
mpos,raw,other,pooled_cl,y2004_2008,n_cell,0.08280719146424258
mneg,raw,other,pooled_cl,y2004_2008,n_cell,0.05357248570230715
mcosmo,raw,other,fe_twoway,y2009_2013,none,-0.3850172492177004
mutil,raw,other,fe_twoway,y2009_2013,none,-0.31621377297807945
mcomm,raw,other,fe_twoway,y2009_2013,none,-0.5946059672130795
mlib,raw,other,fe_twoway,y2009_2013,none,0.037526606168795
mpos,raw,other,fe_twoway,y2009_2013,none,-0.4196509710188915
mneg,raw,other,fe_twoway,y2009_2013,none,-0.42155755320432886
mcosmo,raw,other,fe_twoway,y2009_2013,n_cell,-0.33440990530457626
mutil,raw,other,fe_twoway,y2009_2013,n_cell,-0.27222544755531414
mcomm,raw,other,fe_twoway,y2009_2013,n_cell,-0.5334458767979249
mlib,raw,other,fe_twoway,y2009_2013,n_cell,0.0686227562248483
mpos,raw,other,fe_twoway,y2009_2013,n_cell,-0.3693127434393849
mneg,raw,other,fe_twoway,y2009_2013,n_cell,-0.3535372123925065
mcosmo,raw,other,fe_country,y2009_2013,none,-0.5564137938122283
mutil,raw,other,fe_country,y2009_2013,none,-0.5209490011689487
mcomm,raw,other,fe_country,y2009_2013,none,-0.695428353670889
mlib,raw,other,fe_country,y2009_2013,none,-0.2930399424781821
mpos,raw,other,fe_country,y2009_2013,none,-0.5896644460395984
mneg,raw,other,fe_country,y2009_2013,none,-0.5926658971911697
mcosmo,raw,other,fe_country,y2009_2013,n_cell,-0.4725728844096492
mutil,raw,other,fe_country,y2009_2013,n_cell,-0.44900667207128286
mcomm,raw,other,fe_country,y2009_2013,n_cell,-0.6223162294892972
mlib,raw,other,fe_country,y2009_2013,n_cell,-0.21235078018694353
mpos,raw,other,fe_country,y2009_2013,n_cell,-0.5102147085987893
mneg,raw,other,fe_country,y2009_2013,n_cell,-0.5020631297137403
mcosmo,raw,other,re,y2009_2013,none,-0.4723323616005527
mutil,raw,other,re,y2009_2013,none,-0.4212503510251977
mcomm,raw,other,re,y2009_2013,none,-0.6102114261157433
mlib,raw,other,re,y2009_2013,none,-0.20007859401525144
mpos,raw,other,re,y2009_2013,none,-0.4918402965170873
mneg,raw,other,re,y2009_2013,none,-0.4685170750004297
mcosmo,raw,other,pooled_cl,y2009_2013,none,-0.06985284561035682
mutil,raw,other,pooled_cl,y2009_2013,none,0.02786683771719446
mcomm,raw,other,pooled_cl,y2009_2013,none,-0.00281371559451924
mlib,raw,other,pooled_cl,y2009_2013,none,0.21424382830896635
mpos,raw,other,pooled_cl,y2009_2013,none,-0.04505107108237818
mneg,raw,other,pooled_cl,y2009_2013,none,0.13220067532066082
mcosmo,raw,other,pooled_cl,y2009_2013,n_cell,0.03439075602649375
mutil,raw,other,pooled_cl,y2009_2013,n_cell,0.10038068453649288
mcomm,raw,other,pooled_cl,y2009_2013,n_cell,0.0623762785070223
mlib,raw,other,pooled_cl,y2009_2013,n_cell,0.3110059821779035
mpos,raw,other,pooled_cl,y2009_2013,n_cell,0.06302315350885145
mneg,raw,other,pooled_cl,y2009_2013,n_cell,0.24378670513613696
mcosmo,raw,other,fe_twoway,no_bailout,none,0.04893545820986328
mutil,raw,other,fe_twoway,no_bailout,none,-0.10308974203198258
mcomm,raw,other,fe_twoway,no_bailout,none,-0.23791972155598223
mlib,raw,other,fe_twoway,no_bailout,none,0.15216227060894902
mpos,raw,other,fe_twoway,no_bailout,none,0.00117119956072202
mneg,raw,other,fe_twoway,no_bailout,none,-0.06609716125532553
mcosmo,raw,other,fe_twoway,no_bailout,n_cell,0.07373877544079462
mutil,raw,other,fe_twoway,no_bailout,n_cell,-0.11842843195441204
mcomm,raw,other,fe_twoway,no_bailout,n_cell,-0.2465263958471873
mlib,raw,other,fe_twoway,no_bailout,n_cell,0.19918317601417695
mpos,raw,other,fe_twoway,no_bailout,n_cell,0.01919845404824
mneg,raw,other,fe_twoway,no_bailout,n_cell,-0.04221699132688329
mcosmo,raw,other,fe_country,no_bailout,none,-0.1572006756834107
mutil,raw,other,fe_country,no_bailout,none,-0.22497614688664977
mcomm,raw,other,fe_country,no_bailout,none,-0.36976776061682826
mlib,raw,other,fe_country,no_bailout,none,-0.13409006363800008
mpos,raw,other,fe_country,no_bailout,none,-0.2401451906628743
mneg,raw,other,fe_country,no_bailout,none,-0.3139857736024847
mcosmo,raw,other,fe_country,no_bailout,n_cell,-0.1222796633505068
mutil,raw,other,fe_country,no_bailout,n_cell,-0.2601016013603043
mcomm,raw,other,fe_country,no_bailout,n_cell,-0.3871755075668378
mlib,raw,other,fe_country,no_bailout,n_cell,-0.08477077009502941
mpos,raw,other,fe_country,no_bailout,n_cell,-0.2229173110876485
mneg,raw,other,fe_country,no_bailout,n_cell,-0.2988750605387577
mcosmo,raw,other,re,no_bailout,none,-0.1057778517139922
mutil,raw,other,re,no_bailout,none,-0.19264532598607703
mcomm,raw,other,re,no_bailout,none,-0.31610468313458173
mlib,raw,other,re,no_bailout,none,-0.10160218608301252
mpos,raw,other,re,no_bailout,none,-0.18925929593567176
mneg,raw,other,re,no_bailout,none,-0.26243664728118654
mcosmo,raw,other,pooled_cl,no_bailout,none,0.2531779992103445
mutil,raw,other,pooled_cl,no_bailout,none,0.10031690228757262
mcomm,raw,other,pooled_cl,no_bailout,none,0.25054528206584487
mlib,raw,other,pooled_cl,no_bailout,none,0.18285250954787036
mpos,raw,other,pooled_cl,no_bailout,none,0.2381427505025847
mneg,raw,other,pooled_cl,no_bailout,none,0.25793877600969733
mcosmo,raw,other,pooled_cl,no_bailout,n_cell,0.2987646982884869
mutil,raw,other,pooled_cl,no_bailout,n_cell,0.10139128382282334
mcomm,raw,other,pooled_cl,no_bailout,n_cell,0.24514657920138305
mlib,raw,other,pooled_cl,no_bailout,n_cell,0.23374653552957136
mpos,raw,other,pooled_cl,no_bailout,n_cell,0.27382732487663736
