outcome_build,cell_weight,reg_weight,outcome,pred_form,copredictor,estimator,sample,estimate,se,statistic,df,n,r,positive_outcome,sig,supports_claim,r_ca,p
share,design,pop,mutil,log,growth,pooled_cl,all,0.007221933195967631,0.009204023884132438,0.7846495496842535,267,270,0.04796450380845715,TRUE,FALSE,FALSE,0.04796450380845715,0.43335468484035233
share,design,pop,mutil,log,growth,pooled_cl,y2004_2008,-0.020868081762387136,0.018959741687029547,-1.1006522191524948,132,135,-0.09536288027033271,TRUE,FALSE,TRUE,-0.09536288027033271,0.27305114354885773
share,design,pop,mutil,log,growth,pooled_cl,y2009_2013,0.014157572384717048,0.014073663871845912,1.005962094422263,132,135,0.08722405447525848,TRUE,FALSE,FALSE,0.08722405447525848,0.31627430182906024
share,design,pop,mutil,log,growth,pooled_cl,no_bailout,0.004568811415701167,0.011628324687420864,0.39290366742541644,187,190,0.028720109585012987,TRUE,FALSE,FALSE,0.028720109585012987,0.6948381584805401
share,design,pop,mutil,log,growth,pooled_cl,no_GR_ES,-0.003305268498586144,0.011180210635240542,-0.29563561961594753,247,250,-0.01880751681004039,TRUE,FALSE,TRUE,-0.01880751681004039,0.7677567471533625
share,design,pop,mcomm,raw,none,fe_twoway,all,0.005369685629985864,4.7826077988774606e-4,11.227526604306123,233,270,0.5925188618955476,FALSE,TRUE,TRUE,-0.5925188618955476,1.1537753085635195e-23
share,design,pop,mcomm,raw,none,fe_twoway,y2004_2008,0.005287777065661644,0.0012504096031122074,4.228835937040654,103,135,0.3846255460548058,FALSE,TRUE,TRUE,-0.3846255460548058,5.098959903697438e-5
share,design,pop,mcomm,raw,none,fe_twoway,y2009_2013,0.00692516140502587,8.288438173159114e-4,8.355206687131943,103,135,0.6355846756944682,FALSE,TRUE,TRUE,-0.6355846756944682,3.249195380517396e-13
share,design,pop,mcomm,raw,none,fe_twoway,no_bailout,0.005338856683251032,7.699637456100887e-4,6.9339065815634395,161,190,0.4795376562236751,FALSE,TRUE,TRUE,-0.4795376562236751,9.397338866422834e-11
share,design,pop,mcomm,raw,none,fe_twoway,no_GR_ES,0.005806137601931615,6.690206772919502e-4,8.678562261234726,215,250,0.5093440280359834,FALSE,TRUE,TRUE,-0.5093440280359834,1.0021656679955234e-15
share,design,pop,mcomm,raw,none,fe_country,all,0.005375020746932166,4.5281448157226775e-4,11.870249220539405,242,270,0.6066183686145874,FALSE,TRUE,TRUE,-0.6066183686145874,6.480464779806114e-26
share,design,pop,mcomm,raw,none,fe_country,y2004_2008,0.005591670378999766,0.0010360697138363884,5.397002059151763,107,135,0.46257210563575946,FALSE,TRUE,TRUE,-0.46257210563575946,4.1055509141775657e-7
share,design,pop,mcomm,raw,none,fe_country,y2009_2013,0.008239580761541476,8.263199786366692e-4,9.971416611680883,107,135,0.694018984275793,FALSE,TRUE,TRUE,-0.694018984275793,5.921827899499765e-17
share,design,pop,mcomm,raw,none,fe_country,no_bailout,0.005999082898115049,7.204458343383456e-4,8.326903442539273,170,190,0.5382429077622127,FALSE,TRUE,TRUE,-0.5382429077622127,2.6386638617183177e-14
share,design,pop,mcomm,raw,none,fe_country,no_GR_ES,0.006159354819588154,6.261659824172975e-4,9.836616795773741,224,250,0.5492326001349722,FALSE,TRUE,TRUE,-0.5492326001349722,3.2959154797454126e-19
share,design,pop,mcomm,raw,none,pooled_cl,all,-9.42680130715301e-4,0.001919216908185228,-0.4911795674031863,268,270,-0.029990071708911274,FALSE,FALSE,FALSE,0.029990071708911274,0.6237014338128577
share,design,pop,mcomm,raw,none,pooled_cl,y2004_2008,-0.0018829754118362407,0.004024002557884391,-0.4679359380989584,133,135,-0.04054183248143061,FALSE,FALSE,FALSE,0.04054183248143061,0.6405962878592011
share,design,pop,mcomm,raw,none,pooled_cl,y2009_2013,-8.148959001129247e-4,0.0022412536099635848,-0.36358933076126304,133,135,-0.03151153657595061,FALSE,FALSE,FALSE,0.03151153657595061,0.7167419902123187
share,design,pop,mcomm,raw,none,pooled_cl,no_bailout,-0.0029072604511059807,0.0035746370473803283,-0.8133022772861838,188,190,-0.0592120902159994,FALSE,FALSE,FALSE,0.0592120902159994,0.4170735840261576
