engine,outcome,copredictor,sample,estimator,reg_weight,se,estimate,std_error,statistic,df,n,fmi,m,predictor,construction,item_set,noop,cell_weight,measure,pred_form,family,positive_outcome,p,sig,supports_claim,r,r_ca
mice_pmm,mcosmo,other,no_bailout,pooled_cl,n_eff,conventional,0.007773343606811608,0.00160780299531356,4.834761242185409,182.85694061044325,190,0.011723338215961008,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,2.816506985751264e-6,TRUE,FALSE,0.3366643696013097,0.3366643696013097
mice_pmm,mcosmo,other,no_bailout,pooled_cl,n_eff,clustered,0.007773343606811608,0.0031290594648622004,2.484242851279254,183.02502101721737,190,0.010842354528802533,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.013881256685459522,TRUE,FALSE,0.1806082225798475,0.1806082225798475
mice_pmm,mutil,other,no_bailout,pooled_cl,n_eff,conventional,0.0013887759279099564,9.454649141658539e-4,1.4688815069729142,183.00060746044738,190,0.010972262097997896,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.1435818222239783,FALSE,FALSE,0.10794816500136546,0.10794816500136546
mice_pmm,mutil,other,no_bailout,pooled_cl,n_eff,clustered,0.0013887759279099564,0.0011414224398924278,1.2167063475997897,183.02690764545565,190,0.010832287020992804,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.2252826057686186,FALSE,FALSE,0.08957339151011355,0.08957339151011355
mice_pmm,mcomm,other,no_bailout,pooled_cl,n_eff,conventional,-0.00461780076514712,0.001233204894713778,-3.744552738106747,182.96262079728822,190,0.011173049833251117,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,2.4192980236704357e-4,TRUE,FALSE,-0.2667989703604429,0.2667989703604429
mice_pmm,mcomm,other,no_bailout,pooled_cl,n_eff,clustered,-0.00461780076514712,0.00285045520799235,-1.6200222168723564,183.06142414844797,190,0.010647366616369548,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.1069488646545873,FALSE,FALSE,-0.11888621799306316,0.11888621799306316
mice_pmm,mlib,other,no_bailout,pooled_cl,n_eff,conventional,-0.004544202344099915,0.0013842824907500022,-3.282713156068219,182.95848705326677,190,0.011194802409344338,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.0012315886861797361,TRUE,FALSE,-0.23584639188959697,0.23584639188959697
mice_pmm,mlib,other,no_bailout,pooled_cl,n_eff,clustered,-0.004544202344099915,0.001535755631779869,-2.9589358163924797,182.9822611415943,190,0.011069438467717614,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.0034952313732377663,TRUE,FALSE,-0.213688890419692,0.213688890419692
mice_pmm,mpos,other,no_bailout,pooled_cl,n_eff,conventional,0.009162119534721645,0.002161252132062864,4.239264544288324,182.94427694466276,190,0.011269434814209242,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,3.5535205229807444e-5,TRUE,FALSE,0.29907743367615275,0.29907743367615275
mice_pmm,mpos,other,no_bailout,pooled_cl,n_eff,clustered,0.009162119534721645,0.003606461404095144,2.5404734747245707,183.03422701950112,190,0.010793190039406443,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.011900919818197003,TRUE,FALSE,0.18455403394992823,0.18455403394992823
mice_pmm,mneg,other,no_bailout,pooled_cl,n_eff,conventional,-0.009162003109246971,0.002161224722251806,-4.239264438776626,182.94378469358443,190,0.011272016166624835,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,3.553526184148608e-5,TRUE,FALSE,-0.29907779327449274,0.29907779327449274
mice_pmm,mneg,other,no_bailout,pooled_cl,n_eff,clustered,-0.009162003109246971,0.0036064326427548833,-2.5404614523032643,183.03405407509453,190,0.010794114551930682,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.011901315520104093,TRUE,FALSE,-0.18455327454212006,0.18455327454212006
mice_pmm,mcosmo,other,no_bailout,pooled_cl,pop,conventional,0.009673911312605008,0.0019386446191288894,4.9900385130678995,182.6536002844777,190,0.01275008755251564,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,1.4004239822659715e-6,TRUE,FALSE,0.3463683934030152,0.3463683934030152
mice_pmm,mcosmo,other,no_bailout,pooled_cl,pop,clustered,0.009673911312605008,0.0034566452304152493,2.798641650431356,182.9525904958716,190,0.011225798529628149,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.005681901438025497,TRUE,FALSE,0.2026166807017351,0.2026166807017351
mice_pmm,mutil,other,no_bailout,pooled_cl,pop,conventional,8.782796732784968e-4,0.0010025113561015165,0.8760795256164263,182.53164258856592,190,0.013347284159654112,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.38213825198055984,FALSE,FALSE,0.06470879252172686,0.06470879252172686
mice_pmm,mutil,other,no_bailout,pooled_cl,pop,clustered,8.782796732784968e-4,0.0010079146806115877,0.8713829554953696,182.5378677551319,190,0.013317119403009791,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.38468970258762036,FALSE,FALSE,0.06436224345404225,0.06436224345404225
mice_pmm,mcomm,other,no_bailout,pooled_cl,pop,conventional,-0.0030340279197393527,0.0012870871915331816,-2.357282350176456,182.54078110775816,190,0.01330299089553262,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.019468398856655925,TRUE,FALSE,-0.171877893397564,0.171877893397564
mice_pmm,mcomm,other,no_bailout,pooled_cl,pop,clustered,-0.0030340279197393527,0.0033785970238775893,-0.8980141456045039,183.00869900458642,190,0.01092928161212693,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.37035791971897425,FALSE,FALSE,-0.0662357642618904,0.0662357642618904
mice_pmm,mlib,other,no_bailout,pooled_cl,pop,conventional,-0.007518215866553697,0.0016849995373627632,-4.461850404018896,182.84353598853372,190,0.011792291883041942,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,1.4171500173202215e-5,TRUE,FALSE,-0.31335224605464673,0.31335224605464673
mice_pmm,mlib,other,no_bailout,pooled_cl,pop,clustered,-0.007518215866553697,0.002525978651066103,-2.9763576439494424,182.9784363981364,190,0.01108964947989893,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.003311387552196179,TRUE,FALSE,-0.21489126803814312,0.21489126803814312
mice_pmm,mpos,other,no_bailout,pooled_cl,pop,conventional,0.010552190985883414,0.002510154760358453,4.203800957824828,182.813882089132,190,0.01194417597168176,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,4.102384462029117e-5,TRUE,FALSE,0.2968932400348245,0.2968932400348245
mice_pmm,mpos,other,no_bailout,pooled_cl,pop,clustered,0.010552190985883414,0.0036823912754194916,2.8655811391692283,182.9603222529585,190,0.011185147564706137,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.004649984820499142,TRUE,FALSE,0.20725294351311083,0.20725294351311083
mice_pmm,mneg,other,no_bailout,pooled_cl,pop,conventional,-0.010552243786293197,0.0025101296533883064,-4.2038640402694805,182.81383213458605,190,0.011944431077470955,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,4.101342430748926e-5,TRUE,FALSE,-0.2968973395040771,0.2968973395040771
mice_pmm,mneg,other,no_bailout,pooled_cl,pop,clustered,-0.010552243786293197,0.0036826121080834663,-2.865423638598983,182.96031724879862,190,0.011185173896280563,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.004652197567998854,TRUE,FALSE,-0.20724204426571685,0.20724204426571685
mice_pmm,mcosmo,other,no_GR_ES,fe_twoway,none,conventional,-0.0027062928934651247,0.001177546772954399,-2.2982466222341107,209.44488678528893,250,0.011998914130134113,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.022534684463003062,TRUE,TRUE,-0.1568387888478991,-0.1568387888478991
